name,sex,node_id
Beak,M,0
Beescratch,M,1
Bumper,M,2
CCL,F,3
Cross,M,4
DN16,F,5
DN21,M,6
DN63,M,7
Double,F,8
Feather,M,9
Fish,F,10
Five,F,11
Fork,M,12
Gallatin,M,13
Grin,F,14
Haecksel,M,15
Hook,F,16
Jet,M,17
Jonah,M,18
Knit,M,19
Kringel,F,20
MN105,M,21
MN23,M,22
MN60,M,23
MN83,M,24
Mus,M,25
Notch,M,26
Number1,M,27
Oscar,M,28
Patchback,M,29
PL,M,30
Quasi,M,31
Ripplefluke,U,32
Scabs,F,33
Shmuddel,F,34
SMN5,M,35
SN100,F,36
SN4,F,37
SN63,F,38
SN89,F,39
SN9,F,40
SN90,M,41
SN96,M,42
Stripes,F,43
Thumper,M,44
Topless,M,45
TR120,F,46
TR77,F,47
TR82,U,48
TR88,F,49
TR99,F,50
Trigger,F,51
TSN103,F,52
TSN83,U,53
Upbang,M,54
Vau,F,55
Wave,F,56
Web,M,57
Whitetip,F,58
Zap,U,59
Zig,M,60
Zipfel,M,61
