section,characters
1.0101,MY
1.0101,NP
1.0101,MY
1.0101,MB
1.0102,MY
1.0102,ME
1.0102,ME
1.0102,MB
1.0103,MY
1.0104,MY
1.0104,ME
1.0104,MY
1.0104,CL
1.0104,MY
1.0104,GE
1.0104,MY
1.0104,MC
1.0104,MY
1.0104,MB
1.0105,MY
1.0105,MB
1.0105,ME
1.0106,ME
1.0106,MY
1.0107,MY
1.0107,CV
1.0107,MY
1.0107,MB
1.0107,ME
1.0108,SN
1.0108,MY
1.0109,MB
1.01010,MY
1.01010,GG
1.01011,MY
1.01012,MY
1.01013,MY
1.01014,MY
1.01014,SN
1.0201,JL
1.0201,JV
1.0201,JV
1.0201,MT
1.0201,MR
1.0201,JV
1.0202,ME
1.0202,MB
1.0202,MY
1.0203,ME
1.0203,MB
1.0203,MY
1.0203,JV
1.0204,MY
1.0204,JV
1.0204,MB
1.0204,MY
1.0204,JV
1.0204,MB
1.0204,ME
1.0205,MY
1.0205,ME
1.0205,JV
1.0206,JV
1.0206,IS
1.0207,JV
1.0209,JV
1.02010,JV
1.02011,JV
1.02012,MY
1.02012,ME
1.02012,MY
1.02012,JV
1.02013,PG
1.02013,JV
1.0302,FT
1.0302,LI
1.0302,FA
1.0302,BL
1.0303,FT
1.0303,LI
1.0303,FA
1.0303,BL
1.0303,FV
1.0303,DA
1.0303,ZE
1.0303,FN
1.0304,FT
1.0304,LI
1.0304,FA
1.0304,BL
1.0304,FV
1.0304,DA
1.0304,ZE
1.0304,FN
1.0306,BL
1.0306,FV
1.0306,FV
1.0306,DA
1.0307,FT
1.0308,FT
1.0308,LI
1.0308,FA
1.0308,BL
1.0308,FV
1.0308,DA
1.0308,ZE
1.0308,FN
1.0309,FV
1.0309,DA
1.0309,ZE
1.0309,FN
1.0401,TM
1.0401,FN
1.0401,TH
1.0401,TM
1.0401,FN
1.0403,CO
1.0403,TH
1.0403,TM
1.0501,JV
1.0502,JV
1.0503,JV
1.0504,MY
1.0505,JA
1.0506,FF
1.0506,JV
1.0506,JA
1.0507,FF
1.0508,VI
1.0508,FN
1.0509,VI
1.0509,MT
1.0509,FN
1.05010,MT
1.05010,FN
1.05012,BM
1.05012,FN
1.05012,JA
1.05013,FN
1.05013,JA
1.05013,FN
1.05013,JA
1.05013,JV
1.05013,JA
1.05013,JV
1.05013,JV
1.05013,FN
1.0601,JV
1.0601,FN
1.0602,JV
1.0602,JA
1.0701,SP
1.0701,SS
1.0701,JV
1.0701,SS
1.0701,JV
1.0701,FN
1.0702,JV
1.0702,SC
1.0703,JV
1.0704,JV
1.0704,PO
1.0705,JV
1.0706,SS
1.0706,FN
1.0707,JV
1.0708,JV
1.0709,JV
1.0709,JU
1.0709,CH
1.0709,BM
1.07010,JU
1.07010,CH
1.07010,BR
1.07010,CN
1.07010,CC
1.07010,JV
1.07010,BM
1.07011,JV
1.07011,BR
1.07011,CN
1.07011,CC
1.07011,JU
1.07011,CH
1.0801,SS
1.0801,JV
1.0801,JV
1.0801,FN
1.0802,JV
1.0802,FN
1.0803,JV
1.0803,FN
1.0803,JA
1.0804,JV
1.0804,FN
1.0804,JV
1.0804,JA
1.0804,JA
1.0804,FN
1.0804,JV
1.0804,JA
1.0804,JV
1.0805,JV
1.0805,PO
1.0805,FN
1.0805,SP
1.0805,SS
1.0805,JV
1.0805,SS
1.0805,PO
1.0805,JA
1.0805,JA
1.0805,SS
2.0104,NP
2.0107,NP
2.0108,NP
2.0109,NP
2.01010,NP
2.01019,TH
2.01019,GP
2.0201,JV
2.0202,TH
2.0202,BZ
2.0301,CO
2.0302,TH
2.0302,TM
2.0303,TM
2.0303,CO
2.0304,TM
2.0304,CO
2.0305,CO
2.0306,JV
2.0306,CO
2.0307,CO
2.0307,JV
2.0308,TM
2.0308,JV
2.0308,CO
2.0308,TM
2.0308,JV
2.0308,TM
2.0308,JV
2.0308,TH
2.0308,TM
2.0308,TH
2.0308,TM
2.0308,EP
2.0308,AZ
2.0308,EP
2.0308,TM
2.0308,TM
2.0308,CO
2.0308,TH
2.0308,JV
2.0309,TM
2.0309,JV
2.0309,TH
2.0309,JV
2.03010,TH
2.03010,JV
2.0401,CO
2.0401,JV
2.0402,CO
2.0402,JV
2.0403,CO
2.0403,JV
2.0403,JV
2.0403,LL
2.0404,LL
2.0404,JV
2.0404,CO
2.0405,JA
2.0405,JV
2.0405,JV
2.0405,CO
2.0405,JV
2.0405,LL
2.0501,CO
2.0501,JV
2.0502,CO
2.0502,JV
2.0503,CO
2.0503,JV
2.0504,CO
2.0504,JV
2.0505,CO
2.0505,JV
2.0506,CO
2.0506,JV
2.0507,CO
2.0507,JV
2.0508,JV
2.0508,FF
2.0509,JV
2.0509,FF
2.05010,JA
2.05010,TH
2.05010,JA
2.05010,LL
2.05010,JA
2.05010,JV
2.0607,MI
2.0801,JV
2.0801,FF
2.0802,FF
2.0802,MI
2.0803,FF
2.0803,MI
2.0804,FF
2.0804,JV
2.0804,JV
2.0804,CO
2.0805,GR
2.0805,FF
2.0806,JV
2.0807,FF
2.0807,GR
2.0807,FF
2.0807,JV
2.0808,FF
2.0808,MI
2.0808,JV
2.0809,FF
2.0809,JV
3.0108,JD
3.0108,BU
3.0108,GA
3.0108,BU
3.0201,GI
3.0202,GI
3.0203,GI
3.0204,GI
3.0205,GI
3.0206,GI
3.0206,MN
3.0207,GI
3.0208,MG
3.0208,MP
3.0208,MG
3.0208,MV
3.0208,MG
3.0208,TG
3.0208,MG
3.0208,GI
3.0208,MA
3.0301,BT
3.0301,GI
3.0301,MG
3.0301,GI
3.0301,MA
3.0302,GP
3.0302,MP
3.0302,MG
3.0302,MA
3.0303,BT
3.0303,MA
3.0304,GI
3.0304,MA
3.0304,MA
3.0304,GP
3.0305,MA
3.0305,MM
3.0305,GI
3.0305,MA
3.0305,MG
3.0306,MA
3.0307,TG
3.0307,MG
3.0307,TG
3.0307,MA
3.0308,GI
3.0308,MG
3.0308,GI
3.0308,MA
3.0308,GI
3.0308,MG
3.0401,EN
3.0401,CM
3.0401,JP
3.0401,FE
3.0401,CR
3.0401,BA
3.0401,BO
3.0401,JO
3.0401,GT
3.0402,MA
3.0402,BO
3.0402,MA
3.0402,BO
3.0402,CR
3.0403,CR
3.0403,MA
3.0403,EN
3.0403,CR
3.0403,MA
3.0404,GT
3.0404,BO
3.0404,JO
3.0404,BA
3.0405,CR
3.0405,EN
3.0405,MA
3.0405,CM
3.0406,CR
3.0406,MA
3.0501,MA
3.0502,MA
3.0503,MA
3.0504,MM
3.0504,PL
