src,trg
1,0
4,0
5,0
7,0
8,0
11,0
15,0
16,0
20,0
3,1
4,1
5,1
7,1
8,1
9,1
10,1
13,1
15,1
19,1
20,1
21,1
27,1
28,1
1,2
3,2
5,2
6,2
7,2
8,2
10,2
1,3
2,3
5,3
7,3
8,3
10,3
27,3
28,3
1,4
3,4
5,4
9,4
10,4
11,4
13,4
14,4
15,4
19,4
20,4
21,4
27,4
0,5
1,5
3,5
4,5
7,5
11,5
1,6
2,6
3,6
5,6
7,6
8,6
10,6
0,7
1,7
2,7
4,7
5,7
8,7
10,7
11,7
17,7
24,7
27,7
28,7
2,8
9,8
17,8
24,8
27,8
28,8
1,9
3,9
4,9
5,9
7,9
10,9
15,9
0,10
1,10
2,10
4,10
5,10
7,10
8,10
11,10
13,10
15,10
16,10
19,10
20,10
21,10
24,10
0,11
5,11
8,11
9,11
10,11
15,11
16,11
27,11
10,12
16,12
17,12
19,12
23,12
24,12
27,12
28,12
0,13
1,13
4,13
7,13
8,13
10,13
11,13
12,13
14,13
15,13
16,13
18,13
19,13
20,13
21,13
22,13
23,13
25,13
26,13
1,14
4,14
7,14
12,14
13,14
15,14
16,14
18,14
19,14
21,14
22,14
23,14
25,14
27,14
0,15
1,15
4,15
7,15
8,15
10,15
11,15
12,15
13,15
14,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
25,15
0,16
7,16
8,16
10,16
11,16
12,16
13,16
15,16
18,16
23,16
26,16
27,16
28,16
7,17
8,17
10,17
12,17
18,17
23,17
24,17
0,18
1,18
4,18
8,18
10,18
12,18
13,18
14,18
15,18
16,18
19,18
20,18
21,18
22,18
23,18
25,18
26,18
1,19
4,19
5,19
12,19
13,19
14,19
15,19
18,19
20,19
21,19
22,19
23,19
25,19
26,19
27,19
0,20
1,20
4,20
5,20
7,20
10,20
12,20
13,20
14,20
15,20
18,20
19,20
21,20
22,20
23,20
26,20
27,20
0,21
4,21
5,21
7,21
10,21
11,21
12,21
13,21
14,21
15,21
18,21
19,21
20,21
22,21
23,21
25,21
26,21
4,22
5,22
7,22
8,22
12,22
13,22
14,22
15,22
18,22
19,22
20,22
21,22
23,22
25,22
27,22
28,22
5,23
7,23
8,23
12,23
13,23
14,23
15,23
16,23
18,23
19,23
27,23
28,23
8,24
10,24
12,24
17,24
19,24
22,24
23,24
0,25
5,25
7,25
8,25
10,25
12,25
13,25
14,25
15,25
16,25
18,25
19,25
21,25
22,25
23,25
26,25
27,25
28,25
0,26
4,26
5,26
7,26
10,26
12,26
13,26
14,26
18,26
19,26
21,26
22,26
23,26
25,26
27,26
28,26
4,27
7,27
8,27
10,27
14,27
16,27
23,27
26,27
28,27
4,28
5,28
8,28
12,28
14,28
16,28
21,28
22,28
23,28
26,28
27,28
